id,POI/street
0,/s. par
1,/angg per
2,/
3,/raya nga sri
4,/cut mutia
5,/
6,/
7,/
8,/pam
9,/raya won
10,/tebet raya
11,/kemur viii
12,/
13,/
14,/
15,/
16,/jl tanjung ii
17,/
18,/
19,/sukam
20,/
21,/aswan
22,/
23,/tebet barat vi
24,/
25,/
26,/
27,/
28,/
29,/peman
30,/
31,/
32,/gg. mah
33,/
34,/star barat iii
35,/
36,/m. t. hary
37,/ged hijau viii
38,/
39,/
40,/jl abu 1
41,/
42,/
43,/mand sela iii
44,/jl. karyakomplek karya baru/
45,/
46,/
47,/rezi
48,/
49,/vete
50,/
51,/
52,/
53,/rege
54,/jend sudi
55,/
56,/
57,/kh. wahid has
58,/
59,/raya
60,/pal xi
61,/cibi
62,/
63,/kawat i
64,/lele
65,/jamba
66,/
67,/bida
68,/
69,/
70,/
71,/
72,/lonc
73,/
74,/mla iii
75,/raya band
76,/pan indah
77,/mannu
78,/klam jaya
79,/
80,/kapas utara vi
81,/
82,/cilobak 4
83,/gg. wono
84,/pon ben indah i
85,/
86,/jend sudi
87,perumahan wahana/
88,/
89,/gg. buntu
90,/
91,/
92,/kenc utama ii
93,/kali dha vi
94,/
95,/
96,/nila
97,/
98,/lin ren
99,/pelor
100,/tiki
101,/sate
102,/
103,/
104,/pudak
105,/tham 5
106,/
107,/pasundan
108,/
109,/
110,/
111,/tan jaya 1
112,/
113,/
114,/mel 2
115,/mand raya
116,/
117,/
118,/
119,/
120,/
121,/affa
122,/sae
123,/beng
124,/
125,/jo
126,/
127,/
128,/mar raya
129,/
130,/sela
131,/
132,/sisin
133,/
134,/warga
135,/
136,/pluit kar sela
137,/sel
138,/dewa ruci iii
139,/gg. h. yasin iii
140,/jl. komp.
141,/
142,/
143,/
144,/tan baru v
145,/
146,/
147,/cita
148,/
149,/
150,/
151,/
152,/
153,/
154,/
155,/suka iii
156,/view
157,/jatil raya
158,/gg. djuli
159,/
160,/melur
161,/marga
162,/
163,/
164,/
165,/
166,/jend s par v
167,perumahan kota baru/
168,/
169,/
170,/
171,/ir. h. jua iii
172,/raya bek
173,/
174,/kali
175,/pon kelapa 3
176,/
177,/jl. cendrawasih raya
178,/nanas vii
179,/jl. kunto/jl. krap perm gg. i
180,/jl jendral sudirman
181,/pu asih v
182,/
183,/ploso vi
184,/
185,/ism
186,/
187,/ban
188,/
189,/
190,/
191,/shoph
192,/kar anyar e
193,/nuri i
194,/sami
195,/
196,/suprapto
197,/pramuka
198,/
199,/peri kem
200,/
201,/
202,/gg. hj senin
203,/
204,/
205,/
206,/
207,/cipa
208,/r suka
209,/jl raya cina
210,/mari raya
211,/
212,/kali udik iii
213,/
214,/
215,/
216,/damar
217,/jl.
218,/
219,/
220,/
221,/
222,/jl raya
223,/gg. st. ibu ii
224,/jln karya baru
225,/
226,/petta
227,/
228,/
229,/cib
230,/raya ker
231,/pulau moro
232,/
233,/aup barat iii
234,/ame ix
235,/
236,/
237,/
238,/jl. kedon lor i
239,/
240,/margo
241,/raya pamu per
242,/
243,/
244,/
245,/lin timur
246,/
247,/
248,/
249,/gabus
250,/
251,/jl swadaya
252,/tebet timur dalam ix
253,/lin sumb
254,/cem ii
255,/
256,/
257,/amp i
258,/
259,/
260,jembatan cunda kluar/
261,/
262,/teru kopo
263,/jl. gn. krak iv
264,/
265,/raya kerob
