id,POI/street
0,/s. par
1,/angg per
2,/mand imog
3,/raya nga sri
4,/cut mutia
5,/perum gar
6,/tb. mara
7,pura taman beji tista/
8,tk pam/
9,/raya won
10,/tebet timur tebet raya
11,/kemur viii
12,kimia farma/
13,/
14,/raya pan jakat
15,/raya sawungg
16,/jl tanjung ii
17,/batik ayu 3
18,/pasar pagi raya
19,/
20,/gg. damai 1
21,/
22,/gg. pan
23,/tebet barat tebet barat vi
24,/gad kir timur vi
25,taman lengsar/
26,/raya bant
27,/pulo mas barat vi
28,jembatan merah putih/
29,/ki ageng peman
30,/ahmad yani 19
31,komplek griya asri mandiri/
32,/gg. mah
33,/pab
34,/star barat iii
35,/taman cib
36,/m. t. hary
37,/ged hijau viii
38,komplek puri citra/
39,/raya setu cibi - bek
40,ruko cikitsu/jl abu 1
41,/rogo jampi
42,/letj supr
43,/mand sela iii
44,komplek karya baru permai/
45,/komp angk pura sudi
46,/paru
47,/pasar raya
48,/
49,/vete
50,/raden saleh raya
51,/bhin karya
52,/mas nurul huda
53,/mahk rege
54,/jend sudi
55,/taman hara baru
56,/aka delp
57,/kh. wahid has
58,sendang pancur/
59,/raya kapas
60,/pal xi
61,/cibi
62,hidayatul ummah/
63,/kawat i
64,/lele
65,/
66,/perw
67,/pulau bida
68,/par sarpo i
69,/desa ken
70,zona kiev/
71,/
72,/derm lonc
73,lebak jero/
74,/mla iii
75,mpp cianjur/
76,/pan indah
77,/mannu
78,/klam jaya
79,/can men v b
80,/kapas utara vi
81,/komo halim perd kus
82,/cilobak 4
83,/gg. wono
84,/pon ben indah i
85,/raya matr raya
86,roti bakar bandung pak budi/
87,perumahan wahana/
88,/h imam muna
89,/gg. buntu
90,"koperasi sim pinjam sinar pel, pelab bojong/"
91,gebeha kyubin abadi. pt/
92,/kenc utama ii
93,/kali dha vi
94,/gg. 3 h. asmat
95,/20 dese
96,/nila
97,/raya pasar kec
98,/
99,/pelor
100,/bule utara kelapa gad
101,/sate
102,/jl.a dah
103,cafe fun rck/
104,/pudak
105,/tham 5
106,/gg. sidol
107,move on cell/pasundan
108,/
109,/marg
110,/
111,/tan jaya 1
112,/pet bin ii
113,sd negeri 3 seunuddon/
114,/mel 2
115,mart l-baksiu/
116,/raya sambi
117,/raya maos kidul
118,/taman nyiur 12
119,tk teratai banua/
120,/dok wahi sud hus
121,/jalan affa
122,/monu emmy sae
123,/beng
124,/raya bek
125,/sitin jo
126,/ruko 21 klam
127,cuci motor abang/
128,/mar raya
129,/rawa baha raya
130,/kanti sela
131,/dip
132,/
133,/soek hatta
134,bubur ayam/warga
135,basecamp gunung andong via/
136,/pluit kar sela
137,/sel
138,/dewa ruci iii
139,/gg. h. yasin iii
140,/jl. komp. puri bint pb7a no15
141,/air camar
142,/
143,sisun kel./
144,/tan baru tan baru v
145,/
146,/griya kuni siliw
147,kb rukun/
148,panorama residence/
149,/raya ten tani
150,/kamp kadu suka mulya
151,/komp perdag per
152,notaris hanny siti/
153,/aka
154,/aek godan 150
155,/suka iii
156,/orch view
157,/jatil raya
158,/gg. djuli
159,/by pass ngu rai
160,es cam jus pokat/
161,/marga
162,/bida ayu pintu 3
163,/jela sela 15
164,/pisa baru ten
165,/
166,/jend s par v
167,perumahan kota baru indah/
168,/raya pengas
169,/by pass ngu rai
170,/pahl trip
171,/ir. h. jua iii
172,/raya bek
